time,band,magnitude,e_magnitude,diffmaglim,telescope
59618.41078,G,16.74,0.1,,Gaia
59618.48479,G,16.73,0.1,,Gaia
59677.63319,G,20.2,0.1,,Gaia
59675.445787000004,r,19.965139389038086,0.18747800588607788,,ZTF
59673.410138899926,g,20.434099197387695,0.4778999984264374,,ZTF
59673.369398099836,r,19.891700744628906,0.22454999387264252,,ZTF
59641.49158560019,r,17.998640060424805,0.07289700210094452,,ZTF
59641.43609949993,g,18.39349937438965,0.0747390016913414,,ZTF
59639.53091439977,r,17.837799072265625,0.07689200341701508,,ZTF
59637.456412000116,r,17.72209930419922,0.06032399833202362,,ZTF
59630.51278939983,r,17.238000869750977,0.045120999217033386,,ZTF
59630.446689799894,g,17.26140022277832,0.056710001081228256,,ZTF
59628.49221060006,g,17.07740020751953,0.048652999103069305,,ZTF
59628.472916699946,r,17.136899948120117,0.05112199857831001,,ZTF
59625.53398150019,g,16.92889976501465,0.0493910014629364,,ZTF
59625.45432869997,r,16.971500396728516,0.048973001539707184,,ZTF
59623.535451400094,g,16.832300186157227,0.05512600019574165,,ZTF
59623.47388890013,r,16.930299758911133,0.04227299988269806,,ZTF
59600.55133099994,g,19.07159996032715,0.1441970020532608,,ZTF
59600.53061340004,r,19.204299926757812,0.1475919932126999,,ZTF
59615.632197,c,16.643433,0.012957,,ATLAS
59639.583655,c,18.04468,0.0416,,ATLAS
59643.64073,c,18.395148,0.066608,,ATLAS
59647.64387,c,18.733778,0.103112,,ATLAS
59608.635575,o,17.196996,0.025314,,ATLAS
59613.612564,o,16.893524,0.019751,,ATLAS
59621.605913,o,16.958464,0.020321,,ATLAS
59623.645004,o,16.957779,0.01995,,ATLAS
59629.595651,o,17.244957,0.03702,,ATLAS
59631.606845,o,17.321729,0.029719,,ATLAS
59633.647388,o,17.484714,0.035185,,ATLAS
59635.648763,o,17.562353,0.034544,,ATLAS
59637.586739,o,17.742264,0.041089,,ATLAS
59641.63673,o,18.070675,0.053216,,ATLAS
59645.577719,o,18.385572,0.074505,,ATLAS
59649.633171,o,18.628558,0.08446,,ATLAS
59653.60771,o,18.90154,0.092467,,ATLAS
59654.512708,o,19.012193,0.178547,,ATLAS
59657.608673,o,18.973876,0.12485,,ATLAS
59665.601772,o,19.29046,0.15774,,ATLAS
59669.600685,o,19.599754,0.20973,,ATLAS
