time,band,magnitude,e_magnitude,diffmaglim,telescope
59943.39185,G,17.47,0.1,,Gaia
59943.46586,G,17.45,0.1,,Gaia
59977.43542,G,19.22,0.1,,Gaia
59993.11346,G,19.66,0.1,,Gaia
59934.124051,c,18.138997,0.041966,,ATLAS
59938.073795,c,17.540606,0.026059,,ATLAS
59958.860398,c,18.410766,0.056187,,ATLAS
59959.796294,c,18.601544,0.076242,,ATLAS
59962.798612,c,18.744765,0.122337,,ATLAS
59963.865819,c,18.692312,0.073397,,ATLAS
59931.901971,o,18.978823,0.135235,,ATLAS
59934.870498,o,18.121084,0.060351,,ATLAS
59935.828209,o,17.854477,0.038197,,ATLAS
59938.829714,o,17.539955,0.029507,,ATLAS
59939.857487,o,17.485469,0.025636,,ATLAS
59941.072413,o,17.438831,0.035819,,ATLAS
59942.526244,o,17.446717,0.025766,,ATLAS
59943.811555,o,17.338874,0.043341,,ATLAS
59945.095767,o,17.387629,0.043392,,ATLAS
59946.43423,o,17.365654,0.027504,,ATLAS
59947.825866,o,17.399241,0.04371,,ATLAS
59950.4679,o,17.457304,0.030324,,ATLAS
59951.804072,o,17.592839,0.048999,,ATLAS
59953.099447,o,17.583747,0.051338,,ATLAS
59954.46764,o,17.714641,0.033865,,ATLAS
59955.857626,o,17.755328,0.056643,,ATLAS
59957.052877,o,17.750992,0.081115,,ATLAS
59958.100266,o,17.919403,0.057499,,ATLAS
59961.059161,o,18.111148,0.066766,,ATLAS
59969.085138,o,18.704712,0.117102,,ATLAS
59971.798736,o,18.798962,0.131519,,ATLAS
59974.52368,o,19.014876,0.129314,,ATLAS
