time,band,magnitude,e_magnitude,diffmaglim,telescope
59613.436714,c,17.868766,0.040287,,ATLAS
59614.36957,c,17.844581,0.04022,,ATLAS
59633.374626,c,18.485169,0.073073,,ATLAS
59637.395417,c,18.793066,0.092522,,ATLAS
59638.338887,c,18.850036,0.099466,,ATLAS
59601.688881,o,18.677528,0.094948,,ATLAS
59603.492602,o,18.68533,0.102346,,ATLAS
59606.452276,o,18.349764,0.083975,,ATLAS
59607.376868,o,18.205713,0.071984,,ATLAS
59609.359855,o,18.055607,0.062047,,ATLAS
59610.427347,o,18.034661,0.060246,,ATLAS
59612.440194,o,17.952629,0.057023,,ATLAS
59615.370906,o,17.786733,0.049983,,ATLAS
59616.41738,o,17.769575,0.04895,,ATLAS
59617.356785,o,17.738018,0.045387,,ATLAS
59618.40965,o,17.692783,0.044194,,ATLAS
59619.3895,o,17.73527,0.04794,,ATLAS
59620.344216,o,17.694083,0.048503,,ATLAS
59621.354778,o,17.656607,0.047109,,ATLAS
59627.457933,o,17.944785,0.095565,,ATLAS
59628.447056,o,17.70297,0.081872,,ATLAS
59629.454382,o,17.83669,0.088463,,ATLAS
59630.388952,o,17.86807,0.058998,,ATLAS
59631.349911,o,17.987647,0.058283,,ATLAS
59632.395762,o,18.083207,0.066755,,ATLAS
59634.510577,o,18.087419,0.070054,,ATLAS
59635.387522,o,18.246304,0.075921,,ATLAS
59636.339063,o,18.334578,0.081926,,ATLAS
59639.361012,o,18.491113,0.092669,,ATLAS
59640.36689,o,18.517926,0.073674,,ATLAS
59643.328305,o,18.701791,0.084389,,ATLAS
59644.332351,o,18.650345,0.080466,,ATLAS
59646.341037,o,18.671301,0.169756,,ATLAS
59647.333856,o,18.85573,0.108682,,ATLAS
59649.275241,o,19.224743,0.210254,,ATLAS
59657.314751,o,19.130323,0.18855,,ATLAS
59664.32656,o,19.252625,0.190826,,ATLAS
