time,band,magnitude,e_magnitude,diffmaglim,telescope
59640.39144679997,r,19.32476043701172,0.1320739984512329,,ZTF
59638.38043980021,r,19.13719940185547,0.17932799458503723,,ZTF
59636.354340299964,r,19.01609992980957,0.0824429988861084,,ZTF
59636.24668980017,g,20.33169937133789,0.1785150021314621,,ZTF
59629.40399309993,g,19.462099075317383,0.2641580104827881,,ZTF
59629.3368286998,r,18.688199996948242,0.08420000225305557,,ZTF
59625.257928200066,r,18.54400062561035,0.11726800352334976,,ZTF
59625.24912039982,g,19.246599197387695,0.27381300926208496,,ZTF
59623.35415509995,r,18.44930076599121,0.07645600289106369,,ZTF
59609.094903,c,19.065452,0.143699,,ATLAS
59613.548188,c,18.586297,0.080307,,ATLAS
59614.454615,c,18.540937,0.089704,,ATLAS
59616.974075,c,18.739625,0.10498,,ATLAS
59617.433032,c,18.460363,0.074405,,ATLAS
59618.514687,c,18.632994,0.098485,,ATLAS
59633.419797,c,19.164748,0.147331,,ATLAS
59638.404831,c,19.580674,0.204594,,ATLAS
59609.462194,o,18.924385,0.183454,,ATLAS
59610.53823,o,18.803488,0.142703,,ATLAS
59612.456054,o,19.060875,0.210264,,ATLAS
59615.443286,o,18.53988,0.115716,,ATLAS
59616.444813,o,18.559301,0.114883,,ATLAS
59619.549337,o,18.374162,0.138716,,ATLAS
59620.413961,o,18.503121,0.079961,,ATLAS
59621.454044,o,18.348166,0.094583,,ATLAS
59622.38714,o,18.552328,0.119624,,ATLAS
59623.388418,o,18.312315,0.109454,,ATLAS
59624.465738,o,18.385026,0.088704,,ATLAS
59630.503028,o,18.624637,0.128474,,ATLAS
59631.416914,o,18.79654,0.153021,,ATLAS
59632.47223,o,18.703324,0.135118,,ATLAS
59635.419178,o,19.204612,0.20647,,ATLAS
59636.387259,o,19.161939,0.199345,,ATLAS
59639.456671,o,18.955167,0.167502,,ATLAS
