time,band,magnitude,e_magnitude,diffmaglim,telescope
59625.44075229997,r,18.97369956970215,0.14975999295711517,,ZTF
59623.48315969994,g,20.148700714111328,0.35210201144218445,,ZTF
59623.3992130002,r,18.849700927734375,0.11370199918746948,,ZTF
59612.665229,c,18.987248,0.120446,,ATLAS
59616.650548,c,18.95956,0.116797,,ATLAS
59617.101098,c,19.087786,0.124738,,ATLAS
59620.638897,c,19.029702,0.116565,,ATLAS
59621.100867,c,19.200803,0.129067,,ATLAS
57893.423361,o,18.987274,0.16433,,ATLAS
59607.640135,o,19.291615,0.188821,,ATLAS
59608.637292,o,19.142436,0.173594,,ATLAS
59610.629776,o,19.153481,0.166264,,ATLAS
59614.627896,o,18.794054,0.119405,,ATLAS
59618.603409,o,18.773939,0.121608,,ATLAS
59622.540965,o,18.84165,0.150697,,ATLAS
59624.642796,o,18.977776,0.146735,,ATLAS
59627.288607,o,18.934499,0.193387,,ATLAS
