time,band,magnitude,e_magnitude,diffmaglim,telescope
59629.158449099865,r,18.24542999267578,0.08052100241184235,,ZTF
59627.17728010006,g,18.867300033569336,0.19368800520896912,,ZTF
59624.15717589995,r,17.563400268554688,0.04987499862909317,,ZTF
59622.17996530002,r,17.529399871826172,0.05517299845814705,,ZTF
59622.14409720013,g,17.633499145507812,0.06914900243282318,,ZTF
59618.244542,o,18.160906,0.076639,,ATLAS
59619.245141,o,18.000515,0.067203,,ATLAS
59621.240691,o,17.670099,0.04891,,ATLAS
59626.244549,o,17.901932,0.114795,,ATLAS
59632.232602,o,18.642719,0.123422,,ATLAS
59635.234205,o,18.732143,0.177076,,ATLAS
