time,band,magnitude,e_magnitude,diffmaglim,telescope
59673.38752309978,r,19.286319732666016,0.14937500655651093,,ZTF
59637.526713000145,r,18.280000686645508,0.11575300246477127,,ZTF
59637.49002309982,g,19.1205997467041,0.11973199993371964,,ZTF
59630.51326389983,r,18.34749984741211,0.09031199663877487,,ZTF
59630.44621529989,g,18.799699783325195,0.10116700083017349,,ZTF
59628.51932869991,g,18.795900344848633,0.12953400611877441,,ZTF
59625.53253469989,g,19.0856990814209,0.17002099752426147,,ZTF
59623.47340280004,r,19.04990005493164,0.13763399422168732,,ZTF
59637.61636,c,18.50598,0.091712,,ATLAS
59638.582238,c,18.466275,0.087352,,ATLAS
59639.597601,c,18.498158,0.091847,,ATLAS
59641.579607,c,18.549185,0.107304,,ATLAS
59645.585187,c,18.778697,0.129771,,ATLAS
59646.595667,c,18.701707,0.129624,,ATLAS
59649.567926,c,19.060188,0.14974,,ATLAS
59623.635289,o,19.018676,0.153809,,ATLAS
59625.621778,o,18.692041,0.105774,,ATLAS
59626.654626,o,18.267358,0.116984,,ATLAS
59627.650963,o,18.195962,0.107749,,ATLAS
59629.591403,o,18.317444,0.102668,,ATLAS
59630.645552,o,18.171824,0.116672,,ATLAS
59631.638289,o,18.128268,0.081713,,ATLAS
59633.622941,o,18.101291,0.067489,,ATLAS
59635.642049,o,18.133795,0.068371,,ATLAS
59636.59682,o,18.116356,0.094068,,ATLAS
59637.629736,o,18.031664,0.087017,,ATLAS
59639.603495,o,18.12194,0.094055,,ATLAS
59640.642219,o,17.991741,0.087927,,ATLAS
59641.634722,o,18.121839,0.06677,,ATLAS
59643.586392,o,18.16353,0.06902,,ATLAS
59644.6119,o,18.222913,0.085558,,ATLAS
59645.573131,o,18.2116,0.072625,,ATLAS
59649.639719,o,18.345542,0.116056,,ATLAS
59655.545968,o,18.656317,0.213839,,ATLAS
59657.569383,o,18.893268,0.162431,,ATLAS
59665.607912,o,18.984171,0.207617,,ATLAS
