time,band,magnitude,e_magnitude,diffmaglim,telescope
59692.764,G,17.06,0.1,,Gaia
59692.83801,G,17.09,0.1,,Gaia
59719.25983,G,17.52,0.1,,Gaia
59719.33382,G,17.53,0.1,,Gaia
59748.49711,G,18.03,0.1,,Gaia
59748.57111,G,18.06,0.1,,Gaia
59794.27443,G,18.79,0.1,,Gaia
59794.45059,G,18.78,0.1,,Gaia
59794.52459,G,18.82,0.1,,Gaia
59794.70074,G,18.79,0.1,,Gaia
59794.77475,G,18.81,0.1,,Gaia
59794.9509,G,18.78,0.1,,Gaia
59795.02491,G,18.78,0.1,,Gaia
59795.20105,G,18.81,0.1,,Gaia
59795.27506,G,18.82,0.1,,Gaia
59795.45122,G,18.8,0.1,,Gaia
59795.52522,G,18.8,0.1,,Gaia
59795.70137,G,18.78,0.1,,Gaia
59795.77537,G,18.82,0.1,,Gaia
59795.95153,G,18.8,0.1,,Gaia
59796.02553,G,18.83,0.1,,Gaia
59796.20168,G,18.79,0.1,,Gaia
59796.27568,G,18.84,0.1,,Gaia
59796.52584,G,18.89,0.1,,Gaia
59645.126601,c,15.520101,0.006532,,ATLAS
59663.86272,c,16.595855,0.020348,,ATLAS
58203.374903,o,17.201595,0.127235,,ATLAS
59627.456009,o,18.151932,0.129087,,ATLAS
59628.0075,o,18.023378,0.177849,,ATLAS
59629.243495,o,17.732495,0.063498,,ATLAS
59630.228618,o,17.258057,0.040312,,ATLAS
59633.232559,o,16.54819,0.022591,,ATLAS
59637.252523,o,15.804885,0.030772,,ATLAS
59640.027792,o,15.573966,0.018046,,ATLAS
59642.930243,o,15.411507,0.011482,,ATLAS
59643.926914,o,15.340613,0.006859,,ATLAS
59646.928585,o,15.275843,0.006656,,ATLAS
59647.938003,o,15.268655,0.006612,,ATLAS
59653.143637,o,15.428693,0.013162,,ATLAS
59654.602844,o,15.483908,0.007878,,ATLAS
59655.91507,o,15.541538,0.009844,,ATLAS
59657.218337,o,15.558533,0.015957,,ATLAS
59658.203497,o,15.601714,0.022902,,ATLAS
59661.165455,o,15.843752,0.013438,,ATLAS
59662.157781,o,15.8335,0.022033,,ATLAS
59665.144123,o,15.788689,0.021993,,ATLAS
59666.111092,o,15.918489,0.012201,,ATLAS
59669.090853,o,16.200239,0.029132,,ATLAS
59670.136309,o,16.066153,0.030128,,ATLAS
59673.105848,o,16.27019,0.034267,,ATLAS
59674.09561,o,16.326541,0.036092,,ATLAS
59677.082525,o,16.345861,0.021071,,ATLAS
59679.821173,o,16.598922,0.020629,,ATLAS
59681.132065,o,16.613292,0.022257,,ATLAS
59682.465113,o,16.65758,0.017563,,ATLAS
59685.110622,o,16.684259,0.027994,,ATLAS
59686.197101,o,16.749652,0.030946,,ATLAS
59687.631646,o,16.759758,0.021632,,ATLAS
59689.184259,o,16.818595,0.028504,,ATLAS
59690.402591,o,16.820952,0.02042,,ATLAS
59693.080544,o,16.822065,0.027237,,ATLAS
59694.098236,o,16.899753,0.027334,,ATLAS
59697.102266,o,16.969487,0.028614,,ATLAS
59698.446814,o,16.994045,0.020174,,ATLAS
59699.824507,o,17.018264,0.028593,,ATLAS
59701.057682,o,17.028134,0.029374,,ATLAS
59702.483411,o,17.084272,0.021772,,ATLAS
59703.79405,o,17.066881,0.027251,,ATLAS
59705.091591,o,17.117134,0.032467,,ATLAS
59706.035371,o,17.146768,0.035562,,ATLAS
59709.033605,o,17.567134,0.186216,,ATLAS
59710.069681,o,17.195279,0.037096,,ATLAS
59714.03511,o,17.295915,0.044494,,ATLAS
59717.053975,o,17.4246,0.05094,,ATLAS
59724.987876,o,17.406491,0.053336,,ATLAS
59725.00515,o,17.357499,0.087931,,ATLAS
59726.301681,o,17.457724,0.03723,,ATLAS
59727.733333,o,17.557895,0.057247,,ATLAS
59730.73512,o,17.599763,0.048849,,ATLAS
59731.777615,o,17.635104,0.050241,,ATLAS
59734.769028,o,17.702434,0.062626,,ATLAS
59735.720148,o,17.714246,0.055515,,ATLAS
59736.999608,o,17.817577,0.142505,,ATLAS
59737.470245,o,17.676059,0.052843,,ATLAS
59740.966122,o,17.694603,0.077436,,ATLAS
59741.998153,o,17.870951,0.178352,,ATLAS
59742.009689,o,17.785262,0.089664,,ATLAS
59745.624677,o,17.919047,0.066015,,ATLAS
59748.969379,o,18.110074,0.162867,,ATLAS
59750.022519,o,17.885717,0.099787,,ATLAS
59766.736749,o,18.318169,0.104873,,ATLAS
59768.984833,o,18.04205,0.105814,,ATLAS
59781.976148,o,18.398472,0.172596,,ATLAS
