time,band,magnitude,e_magnitude,diffmaglim,telescope
57102.51413,G,20.33,0.1,,Gaia
57102.58814,G,20.18,0.1,,Gaia
57134.74267,G,20.24,0.1,,Gaia
57134.81667,G,20.19,0.1,,Gaia
57294.77703,G,20.15,0.1,,Gaia
57458.88197,G,20.13,0.1,,Gaia
57482.55209,G,20.2,0.1,,Gaia
57482.6261,G,20.14,0.1,,Gaia
57648.3223,G,20.21,0.1,,Gaia
57648.39632,G,20.29,0.1,,Gaia
57674.81799,G,20.11,0.1,,Gaia
57862.64737,G,20.18,0.1,,Gaia
57885.64435,G,20.17,0.1,,Gaia
57885.71836,G,20.19,0.1,,Gaia
58023.92895,G,20.33,0.1,,Gaia
58054.66598,G,20.07,0.1,,Gaia
58054.74,G,20.16,0.1,,Gaia
58074.16894,G,20.24,0.1,,Gaia
58435.03127,G,20.55,0.1,,Gaia
58435.28146,G,20.17,0.1,,Gaia
58447.28733,G,20.14,0.1,,Gaia
58538.28231,G,20.28,0.1,,Gaia
58538.35632,G,20.23,0.1,,Gaia
58538.53247,G,20.26,0.1,,Gaia
58538.60647,G,20.14,0.1,,Gaia
58547.61041,G,20.15,0.1,,Gaia
58547.78655,G,20.25,0.1,,Gaia
58547.86054,G,20.24,0.1,,Gaia
58585.25664,G,20.21,0.1,,Gaia
58585.33064,G,20.11,0.1,,Gaia
58724.47304,G,20.25,0.1,,Gaia
58734.98248,G,20.17,0.1,,Gaia
58735.05649,G,20.26,0.1,,Gaia
58772.3849,G,20.13,0.1,,Gaia
58905.95846,G,20.22,0.1,,Gaia
58906.03247,G,20.21,0.1,,Gaia
58920.2209,G,20.08,0.1,,Gaia
59167.28012,G,20.2,0.1,,Gaia
59269.35471,G,20.21,0.1,,Gaia
59279.85898,G,20.18,0.1,,Gaia
59316.75579,G,20.18,0.1,,Gaia
59457.11245,G,20.27,0.1,,Gaia
59506.77759,G,20.32,0.1,,Gaia
59642.07329,G,18.36,0.1,,Gaia
59642.14729,G,18.3,0.1,,Gaia
59660.64794,G,18.28,0.1,,Gaia
59692.62747,G,18.69,0.1,,Gaia
59830.90869,G,19.84,0.1,,Gaia
60016.69262,G,19.94,0.1,,Gaia
60040.68588,G,19.96,0.1,,Gaia
60068.10086,G,20.05,0.1,,Gaia
60068.17485,G,20.04,0.1,,Gaia
59708.217673600186,r,19.318769454956055,0.1807290017604828,,ZTF
59703.18067129981,g,19.26729965209961,0.1572210043668747,,ZTF
59697.19664350012,g,19.216400146484375,0.13950799405574799,,ZTF
59697.16518520005,r,19.168500900268555,0.09109199792146683,,ZTF
59695.20710649993,r,19.247900009155273,0.15971900522708893,,ZTF
59695.178669000044,g,19.12190055847168,0.1326719969511032,,ZTF
59693.183854199946,r,18.99650001525879,0.11523900181055069,,ZTF
59689.18746529985,r,18.98110008239746,0.10631000250577927,,ZTF
59689.162963000126,g,18.98710060119629,0.17406900227069855,,ZTF
59687.17555559985,g,18.896900177001953,0.1132730022072792,,ZTF
59687.16291669989,r,19.015899658203125,0.10799399763345718,,ZTF
59685.19629629981,r,18.959299087524414,0.09738100320100784,,ZTF
59685.16285880003,g,18.926000595092773,0.1512729972600937,,ZTF
59683.26733799977,g,18.878299713134766,0.19463199377059937,,ZTF
59683.159548600204,r,18.797399520874023,0.08994100242853165,,ZTF
59676.21526619978,g,18.749099731445312,0.12929099798202515,,ZTF
59676.16634259978,r,18.81279945373535,0.099542997777462,,ZTF
59674.223506900016,r,18.739599227905273,0.08919200301170349,,ZTF
59674.17954860022,g,18.701799392700195,0.07933299988508224,,ZTF
59672.18291669991,r,18.68470001220703,0.11296100169420242,,ZTF
59672.18291669991,r,18.67060089111328,0.11331400275230408,,ZTF
59672.15490739979,g,18.599000930786133,0.06984499841928482,,ZTF
59672.15490739979,g,18.598100662231445,0.06959500163793564,,ZTF
59640.24049769994,r,18.695819854736328,0.058341000229120255,,ZTF
59640.20563660003,g,18.4960994720459,0.06813599914312363,,ZTF
59638.342106500175,g,18.58650016784668,0.1557150036096573,,ZTF
59638.23804400023,r,18.715700149536133,0.2600579857826233,,ZTF
59636.19061340019,g,18.664499282836914,0.07824999839067459,,ZTF
59636.15451390017,r,18.847299575805664,0.06665600091218948,,ZTF
59629.38694440015,g,19.002599716186523,0.21094399690628052,,ZTF
59629.32751160022,r,19.178699493408203,0.13732199370861053,,ZTF
59633.347166,c,18.914995,0.112157,,ATLAS
59637.382895,c,18.647343,0.076766,,ATLAS
59638.328724,c,18.66924,0.108916,,ATLAS
59645.325517,c,18.304885,0.143351,,ATLAS
59661.313765,c,18.56207,0.082883,,ATLAS
59662.32997,c,18.528648,0.127931,,ATLAS
59665.280808,c,18.571663,0.06419,,ATLAS
59666.321482,c,18.558266,0.072568,,ATLAS
59669.311663,c,18.445727,0.075359,,ATLAS
59677.239111,c,18.419537,0.216268,,ATLAS
59681.252663,c,18.758097,0.211125,,ATLAS
59690.286797,c,18.978281,0.109683,,ATLAS
59694.247235,c,19.19136,0.158944,,ATLAS
59697.249859,c,19.224187,0.215917,,ATLAS
59698.296853,c,19.20273,0.138504,,ATLAS
59631.339601,o,19.232821,0.1885,,ATLAS
59632.378609,o,19.200951,0.186652,,ATLAS
59634.505653,o,18.793692,0.144056,,ATLAS
59635.378779,o,19.071599,0.16733,,ATLAS
59636.326079,o,18.969849,0.152381,,ATLAS
59639.355931,o,18.85651,0.136592,,ATLAS
59640.357655,o,18.717818,0.14727,,ATLAS
59643.320473,o,18.586583,0.125317,,ATLAS
59644.323702,o,18.500132,0.114937,,ATLAS
59646.317064,o,18.449109,0.12835,,ATLAS
59647.313252,o,18.528607,0.128713,,ATLAS
59649.285765,o,18.738027,0.146419,,ATLAS
59657.301066,o,18.382935,0.185033,,ATLAS
59658.34287,o,18.468035,0.085336,,ATLAS
59659.322477,o,18.851801,0.143965,,ATLAS
59660.270455,o,18.62255,0.116593,,ATLAS
59663.282248,o,18.607106,0.123506,,ATLAS
59664.325126,o,18.762759,0.129201,,ATLAS
59671.272224,o,18.757684,0.129897,,ATLAS
59672.251248,o,18.693037,0.142144,,ATLAS
59682.313699,o,18.727743,0.169116,,ATLAS
59684.258471,o,18.767842,0.165231,,ATLAS
59689.250637,o,19.029416,0.173927,,ATLAS
59695.245128,o,19.027534,0.201833,,ATLAS
59696.283211,o,19.118805,0.187995,,ATLAS
