time,band,magnitude,e_magnitude,diffmaglim,telescope
59749.222025500145,r,20.01944923400879,0.1997860074043274,,ZTF
59742.232557899784,r,19.608699798583984,0.23389600217342377,,ZTF
59740.21649309993,r,19.659000396728516,0.23232899606227875,,ZTF
59734.19648149982,g,20.545400619506836,0.24973900616168976,,ZTF
59722.29721060023,g,20.51099967956543,0.27849799394607544,,ZTF
59719.30791669991,r,19.534900665283203,0.1859470009803772,,ZTF
59719.28967589978,r,19.53179931640625,0.12779800593852997,,ZTF
59713.25402780017,r,19.153400421142578,0.19564999639987946,,ZTF
59711.297673599795,r,19.16939926147461,0.1689320057630539,,ZTF
59709.318784699775,r,19.42300033569336,0.17494100332260132,,ZTF
59709.253298600204,r,19.47089958190918,0.15332700312137604,,ZTF
59707.28908560006,r,19.190500259399414,0.1619739979505539,,ZTF
59702.32174770022,g,20.368200302124023,0.22124800086021423,,ZTF
59700.24569439981,g,20.249300003051758,0.20209099352359772,,ZTF
59698.36958329985,r,19.19230079650879,0.11136499792337418,,ZTF
59694.370879599825,g,19.935100555419922,0.16395799815654755,,ZTF
59684.3336920999,r,19.108999252319336,0.19509999454021454,,ZTF
59682.31780089997,r,18.926700592041016,0.12099400162696838,,ZTF
59682.22620370006,g,19.82069969177246,0.3270229995250702,,ZTF
59679.26032410003,g,20.04680061340332,0.20489999651908875,,ZTF
59679.24759260006,r,18.778600692749023,0.09180600196123123,,ZTF
59677.38267360022,r,18.784099578857422,0.10981400310993195,,ZTF
59675.360069400165,g,20.02750015258789,0.15977300703525543,,ZTF
59641.38598380005,g,18.099720001220703,0.058701999485492706,,ZTF
59639.3952314998,g,17.999500274658203,0.06166800111532211,,ZTF
59639.3119212999,r,17.736000061035156,0.06538999825716019,,ZTF
59637.414537000004,r,17.834199905395508,0.0558990016579628,,ZTF
59637.38160880003,g,17.980199813842773,0.055633001029491425,,ZTF
59630.40398149984,g,18.972200393676758,0.1274529993534088,,ZTF
59637.514832,c,17.911642,0.037573,,ATLAS
59638.490093,c,17.892435,0.03729,,ATLAS
59641.457182,c,17.929883,0.038957,,ATLAS
59642.606395,c,17.986223,0.054794,,ATLAS
59645.490138,c,18.046565,0.051714,,ATLAS
59646.492168,c,18.024633,0.049872,,ATLAS
59665.428671,c,18.913662,0.095409,,ATLAS
59666.5177,c,18.781529,0.08151,,ATLAS
59669.492531,c,19.147182,0.114102,,ATLAS
59670.424554,c,19.059222,0.107217,,ATLAS
59673.405958,c,19.314449,0.198167,,ATLAS
59677.397026,c,19.539231,0.181405,,ATLAS
59694.365298,c,19.509478,0.162233,,ATLAS
59733.325883,c,20.126332,0.210228,,ATLAS
59631.501111,o,18.752356,0.105691,,ATLAS
59632.50372,o,18.345856,0.095995,,ATLAS
59633.493386,o,18.206276,0.078205,,ATLAS
59634.605591,o,18.154773,0.07458,,ATLAS
59635.512505,o,18.031654,0.077243,,ATLAS
59636.479555,o,17.998832,0.074944,,ATLAS
59639.461871,o,17.883217,0.068224,,ATLAS
59640.523046,o,17.851099,0.064227,,ATLAS
59643.47998,o,17.867449,0.055966,,ATLAS
59644.47253,o,17.805839,0.05359,,ATLAS
59647.471032,o,17.744155,0.057465,,ATLAS
59649.454625,o,17.699591,0.048814,,ATLAS
59651.495998,o,17.827674,0.058167,,ATLAS
59653.447691,o,17.819726,0.065696,,ATLAS
59654.417402,o,17.850949,0.090363,,ATLAS
59658.526695,o,17.946957,0.073103,,ATLAS
59659.535957,o,17.96804,0.071865,,ATLAS
59660.460945,o,18.060679,0.077458,,ATLAS
59661.490279,o,18.147425,0.151689,,ATLAS
59662.522335,o,18.146762,0.074724,,ATLAS
59664.513911,o,18.273825,0.083597,,ATLAS
59671.415457,o,18.633376,0.115891,,ATLAS
59672.404348,o,18.603413,0.113794,,ATLAS
59680.402966,o,19.125787,0.20122,,ATLAS
59689.363103,o,19.059869,0.175744,,ATLAS
59690.450188,o,19.039721,0.171687,,ATLAS
59692.359511,o,19.236533,0.201992,,ATLAS
59695.367557,o,19.025951,0.169521,,ATLAS
59696.422662,o,19.102767,0.175375,,ATLAS
