time,band,magnitude,e_magnitude,diffmaglim,telescope
59597.92374,G,18.44,0.1,,Gaia
59597.99775,G,18.46,0.1,,Gaia
59608.17833,G,18.79,0.1,,Gaia
59608.25234,G,18.8,0.1,,Gaia
59652.68396,G,19.74,0.1,,Gaia
59666.36344,G,19.86,0.1,,Gaia
59705.57057,G,20.46,0.1,,Gaia
59705.64457,G,20.48,0.1,,Gaia
59736.30692,G,20.86,0.1,,Gaia
59588.591838,c,18.392658,0.064229,,ATLAS
59615.491271,c,19.313826,0.161465,,ATLAS
59619.565666,c,19.421805,0.164406,,ATLAS
59635.515974,c,19.580389,0.185787,,ATLAS
57805.56023,o,17.850266,0.1288,,ATLAS
57863.52143,o,17.258756,0.079769,,ATLAS
57868.514039,o,17.962223,0.137394,,ATLAS
59590.533537,o,18.301526,0.060752,,ATLAS
59592.527695,o,18.340705,0.099909,,ATLAS
59594.572141,o,18.275517,0.103043,,ATLAS
59598.503276,o,18.324117,0.130026,,ATLAS
59602.554887,o,18.460064,0.109641,,ATLAS
59604.563958,o,18.42901,0.09547,,ATLAS
59605.571849,o,18.460734,0.094608,,ATLAS
59608.510271,o,18.578233,0.110061,,ATLAS
59609.54171,o,18.697184,0.123396,,ATLAS
59613.47689,o,18.753171,0.125738,,ATLAS
59617.582285,o,18.977735,0.166206,,ATLAS
59621.470194,o,18.961581,0.173347,,ATLAS
59626.489314,o,19.027807,0.211277,,ATLAS
59649.486375,o,19.151147,0.19398,,ATLAS
