time,band,magnitude,e_magnitude,diffmaglim,telescope
59669.872348,c,17.857792,0.047499,,ATLAS
59673.798644,c,18.120615,0.129296,,ATLAS
59758.855437,c,19.781393,0.210737,,ATLAS
59759.964309,c,19.313071,0.210814,,ATLAS
59652.073388,o,18.665674,0.15299,,ATLAS
59656.141097,o,17.856674,0.085261,,ATLAS
59660.071245,o,17.62775,0.042141,,ATLAS
59664.124741,o,17.372592,0.03119,,ATLAS
59668.043908,o,17.333767,0.042697,,ATLAS
59672.098342,o,17.404469,0.044698,,ATLAS
59676.03216,o,17.301193,0.048449,,ATLAS
59677.856688,o,17.645319,0.057286,,ATLAS
59680.079607,o,17.574935,0.055208,,ATLAS
59684.023171,o,17.608524,0.06593,,ATLAS
59685.815958,o,17.883317,0.094284,,ATLAS
59688.086828,o,17.747071,0.07271,,ATLAS
59692.017345,o,17.913168,0.082545,,ATLAS
59699.992913,o,18.441825,0.170425,,ATLAS
59700.005749,o,18.37764,0.161778,,ATLAS
59701.801549,o,18.255932,0.100167,,ATLAS
59704.082593,o,18.317712,0.103709,,ATLAS
59707.975343,o,18.748068,0.17302,,ATLAS
59715.965356,o,18.640587,0.203913,,ATLAS
59725.76147,o,18.749241,0.151097,,ATLAS
59733.744875,o,18.985285,0.194165,,ATLAS
59749.727941,o,18.970384,0.198219,,ATLAS
