time,band,magnitude,e_magnitude,diffmaglim,telescope
59587.5167,c,19.258438,0.137905,,ATLAS
59605.931945,c,18.095581,0.071518,,ATLAS
59608.993644,c,18.122973,0.060548,,ATLAS
59609.01346,c,18.249822,0.109741,,ATLAS
59612.460071,c,18.417453,0.068044,,ATLAS
59613.467942,c,18.45576,0.067833,,ATLAS
59614.399098,c,18.570819,0.075399,,ATLAS
59616.901557,c,18.752495,0.10112,,ATLAS
59618.459024,c,18.763867,0.086814,,ATLAS
59636.34582,c,19.462903,0.167692,,ATLAS
59589.423215,o,19.019946,0.174517,,ATLAS
59591.417488,o,18.500294,0.103157,,ATLAS
59593.39064,o,18.355173,0.101309,,ATLAS
59601.505691,o,18.201223,0.086919,,ATLAS
59602.512031,o,18.031788,0.062574,,ATLAS
59603.484035,o,18.162296,0.072526,,ATLAS
59605.411643,o,18.200616,0.085611,,ATLAS
59606.377329,o,18.466372,0.094544,,ATLAS
59607.392593,o,18.384208,0.089815,,ATLAS
59609.402884,o,18.402362,0.088701,,ATLAS
59610.433796,o,18.565011,0.071167,,ATLAS
59612.437556,o,18.670805,0.115844,,ATLAS
59615.357211,o,18.755359,0.125238,,ATLAS
59616.363861,o,18.758066,0.08724,,ATLAS
59617.387645,o,18.720204,0.117733,,ATLAS
59618.384188,o,18.983496,0.152976,,ATLAS
59619.428142,o,18.860305,0.141486,,ATLAS
59620.336552,o,18.878648,0.102311,,ATLAS
59621.394528,o,18.906631,0.146894,,ATLAS
59622.322121,o,18.753507,0.102675,,ATLAS
59630.437103,o,18.57603,0.150019,,ATLAS
59631.412134,o,18.958492,0.155731,,ATLAS
59632.42983,o,19.021824,0.112336,,ATLAS
59634.363848,o,19.212166,0.187003,,ATLAS
59638.324507,o,19.178154,0.180361,,ATLAS
59658.389767,o,19.552032,0.208471,,ATLAS
