time,band,magnitude,e_magnitude,diffmaglim,telescope
59724.427036,c,18.179097,0.052167,,ATLAS
59732.408125,c,18.181202,0.051854,,ATLAS
59736.448919,c,18.495445,0.07034,,ATLAS
59756.403307,c,19.167513,0.129531,,ATLAS
59784.593288,c,19.905647,0.167814,,ATLAS
59788.578227,c,20.158053,0.211706,,ATLAS
59719.264277,o,18.650937,0.120663,,ATLAS
59722.426439,o,18.404832,0.090618,,ATLAS
59724.961112,o,18.235824,0.071737,,ATLAS
59726.414186,o,18.245909,0.075782,,ATLAS
59727.185581,o,18.277134,0.079559,,ATLAS
59728.98541,o,18.231093,0.081685,,ATLAS
59729.002128,o,18.102235,0.130726,,ATLAS
59730.402672,o,18.238844,0.081734,,ATLAS
59734.463639,o,18.357499,0.085337,,ATLAS
59736.925692,o,18.408846,0.083348,,ATLAS
59738.381756,o,18.545817,0.109101,,ATLAS
59740.375835,o,18.598565,0.111299,,ATLAS
59746.431059,o,18.884704,0.18542,,ATLAS
59747.177091,o,18.792773,0.153807,,ATLAS
59750.472601,o,18.741378,0.122833,,ATLAS
59754.371667,o,18.722619,0.115145,,ATLAS
59758.367814,o,18.725442,0.112611,,ATLAS
59764.86003,o,18.980934,0.141825,,ATLAS
59766.339233,o,18.992065,0.154758,,ATLAS
59767.107369,o,18.913736,0.138728,,ATLAS
59768.497652,o,19.029431,0.124115,,ATLAS
59772.561862,o,18.896053,0.141118,,ATLAS
59776.662898,o,19.174018,0.113377,,ATLAS
59778.379368,o,19.143674,0.171433,,ATLAS
59780.914382,o,19.266614,0.128935,,ATLAS
59783.093983,o,19.220271,0.172752,,ATLAS
