time,band,magnitude,e_magnitude,diffmaglim,telescope
59710.73587,G,14.61,0.1,,Gaia
59710.91204,G,14.6,0.1,,Gaia
59722.66811,G,14.85,0.1,,Gaia
59722.74213,G,14.86,0.1,,Gaia
59760.46973,G,14.67,0.1,,Gaia
59732.601534,c,15.72223,0.011153,,ATLAS
59736.606137,c,15.549758,0.012695,,ATLAS
59768.610364,c,15.082922,0.008257,,ATLAS
59784.580014,c,15.302557,0.005917,,ATLAS
59785.077242,c,15.314788,0.005767,,ATLAS
59788.562891,c,15.421415,0.006684,,ATLAS
59791.440586,c,15.506116,0.017671,,ATLAS
59792.608523,c,15.530492,0.007166,,ATLAS
59796.61602,c,15.429872,0.007168,,ATLAS
59797.184656,c,15.475106,0.01529,,ATLAS
59819.163791,c,15.776393,0.017871,,ATLAS
59820.520098,c,15.777535,0.008615,,ATLAS
59823.313673,c,15.76885,0.008808,,ATLAS
59824.589402,c,15.832212,0.017912,,ATLAS
59842.424564,c,16.105854,0.01195,,ATLAS
59846.546535,c,16.113473,0.122925,,ATLAS
59849.044254,c,16.026998,0.010514,,ATLAS
59850.412109,c,16.104298,0.010956,,ATLAS
59852.92297,c,16.12521,0.022894,,ATLAS
59854.508315,c,16.202594,0.012066,,ATLAS
59871.210466,c,16.238899,0.014795,,ATLAS
59872.411689,c,16.255121,0.012898,,ATLAS
59875.197314,c,16.309426,0.027127,,ATLAS
59876.391108,c,16.362385,0.013976,,ATLAS
59879.149608,c,16.379881,0.019967,,ATLAS
59880.437766,c,16.44073,0.01512,,ATLAS
59896.850328,c,16.553723,0.016669,,ATLAS
59898.355411,c,16.606206,0.016982,,ATLAS
59900.840254,c,16.628918,0.01885,,ATLAS
59902.400247,c,16.706663,0.021685,,ATLAS
59904.820468,c,16.804741,0.030153,,ATLAS
59906.311227,c,16.846216,0.020569,,ATLAS
59927.069367,c,17.002979,0.02804,,ATLAS
59928.281726,c,17.009526,0.024474,,ATLAS
59931.047182,c,17.049919,0.027447,,ATLAS
59963.806228,c,16.983968,0.07687,,ATLAS
59725.182602,o,14.797803,0.014328,,ATLAS
59737.185404,o,14.883509,0.017218,,ATLAS
59744.595868,o,14.520263,0.010751,,ATLAS
59746.596507,o,14.519879,0.010576,,ATLAS
59753.592472,o,14.466498,0.003769,,ATLAS
59754.604283,o,14.472609,0.00361,,ATLAS
59766.617963,o,14.636189,0.008508,,ATLAS
59769.125503,o,14.684974,0.00927,,ATLAS
59770.604586,o,14.712554,0.004736,,ATLAS
59772.571971,o,14.682803,0.004534,,ATLAS
59773.100515,o,14.690132,0.011775,,ATLAS
59774.54169,o,14.751777,0.005813,,ATLAS
59775.991803,o,14.752676,0.016433,,ATLAS
59776.016458,o,14.764077,0.011976,,ATLAS
59777.020456,o,14.786132,0.007329,,ATLAS
59781.116508,o,14.964182,0.005379,,ATLAS
59783.323065,o,14.942719,0.005249,,ATLAS
59786.580258,o,15.039662,0.006684,,ATLAS
59787.386988,o,15.032549,0.006381,,ATLAS
59794.618853,o,15.234649,0.010158,,ATLAS
59799.267723,o,15.151493,0.008675,,ATLAS
59800.527835,o,15.185954,0.007697,,ATLAS
59801.11499,o,15.170668,0.011173,,ATLAS
59802.183329,o,15.178456,0.009888,,ATLAS
59803.215305,o,15.221771,0.047482,,ATLAS
59808.588877,o,15.281108,0.007061,,ATLAS
59810.483521,o,15.341702,0.007613,,ATLAS
59812.542378,o,15.368429,0.015776,,ATLAS
59813.067804,o,15.380617,0.007472,,ATLAS
59814.52496,o,15.486679,0.008663,,ATLAS
59818.505022,o,15.598268,0.008903,,ATLAS
59822.556055,o,15.556629,0.008921,,ATLAS
59824.983255,o,15.594636,0.009889,,ATLAS
59825.004106,o,15.606932,0.01744,,ATLAS
59826.4715,o,15.656472,0.009393,,ATLAS
59828.953678,o,15.718076,0.014215,,ATLAS
59829.124062,o,15.793646,0.027757,,ATLAS
59830.400018,o,15.807358,0.015725,,ATLAS
59831.031677,o,15.781895,0.013334,,ATLAS
59836.678376,o,15.7485,0.011192,,ATLAS
59837.009706,o,15.765378,0.013899,,ATLAS
59838.493815,o,15.788474,0.011979,,ATLAS
59839.268665,o,15.758841,0.077328,,ATLAS
59840.47547,o,15.835202,0.015212,,ATLAS
59843.165221,o,15.898258,0.011011,,ATLAS
59844.426826,o,15.896014,0.016411,,ATLAS
59848.424678,o,15.825265,0.010764,,ATLAS
59851.161446,o,15.867797,0.011072,,ATLAS
59855.896605,o,16.033576,0.030628,,ATLAS
59856.873543,o,16.05125,0.016626,,ATLAS
59858.304635,o,15.947643,0.009557,,ATLAS
59864.423607,o,16.08476,0.015286,,ATLAS
59866.429116,o,16.139979,0.018288,,ATLAS
59868.401903,o,16.193934,0.029946,,ATLAS
59870.403512,o,16.104441,0.015009,,ATLAS
59872.89476,o,16.105111,0.015355,,ATLAS
59874.452618,o,16.147538,0.013401,,ATLAS
59876.891093,o,16.206924,0.01537,,ATLAS
59878.374229,o,16.284902,0.015885,,ATLAS
59880.752595,o,16.320455,0.011291,,ATLAS
59882.372417,o,16.301037,0.015733,,ATLAS
59883.126055,o,16.147298,0.021746,,ATLAS
59884.475412,o,16.250457,0.014196,,ATLAS
59886.362411,o,16.306875,0.018387,,ATLAS
59891.169306,o,16.310425,0.081907,,ATLAS
59892.683897,o,16.507427,0.017715,,ATLAS
59894.325851,o,16.517615,0.023761,,ATLAS
59896.42697,o,16.429233,0.022776,,ATLAS
59899.105573,o,16.532061,0.021565,,ATLAS
59900.440466,o,16.554401,0.025203,,ATLAS
59903.098912,o,16.600398,0.023405,,ATLAS
59907.075131,o,16.691277,0.028526,,ATLAS
59908.310637,o,16.543818,0.019771,,ATLAS
59909.167216,o,16.607878,0.018632,,ATLAS
59911.074023,o,16.657157,0.023229,,ATLAS
59912.801138,o,16.681282,0.024009,,ATLAS
59919.104967,o,16.82863,0.03283,,ATLAS
59920.824095,o,16.686669,0.029544,,ATLAS
59923.074333,o,16.758081,0.036265,,ATLAS
59944.79455,o,17.039154,0.066279,,ATLAS
59947.062778,o,16.936675,0.079539,,ATLAS
59948.84606,o,16.992938,0.043141,,ATLAS
59960.220998,o,16.998271,0.035261,,ATLAS
59964.211103,o,17.00137,0.049568,,ATLAS
59850.4004733781,g,16.0547,0.0161958,,Pan-STARRS
60175.55301619215,g,22.21065,0.03797163414971703,,Pan-STARRS
60182.48567843693,g,22.157633333333337,0.06261312428982617,,Pan-STARRS
57710.327770038864,i,22.0217,0.35649734921875736,,Pan-STARRS
58034.3654087008,i,21.8289,2.69841,,Pan-STARRS
58036.4575427347,i,31.4631,11.118971291445988,,Pan-STARRS
58117.2343297509,i,23.7845,2.76134,,Pan-STARRS
59072.56858949285,i,22.614749999999997,1.5838657718800973,,Pan-STARRS
59101.4526498956,i,23.7875,2.23311,,Pan-STARRS
59127.4957219988,i,20.999233333333333,0.2771758527241017,,Pan-STARRS
59454.53328086065,i,22.580849999999998,1.3722821302487351,,Pan-STARRS
59482.4494345138,i,23.3352,2.37503,,Pan-STARRS
59484.423377471045,i,23.751350000000002,1.914915874131288,,Pan-STARRS
59837.491954196776,i,15.5977,0.012588619198837341,,Pan-STARRS
59850.4016512582,i,15.6838,0.00635388,,Pan-STARRS
59867.4277845978,i,15.954625,0.015579767863053878,,Pan-STARRS
60175.5675755986,i,21.7141,0.04087077195258266,,Pan-STARRS
