time,band,magnitude,e_magnitude,diffmaglim,telescope
59818.21640049992,r,20.01917839050293,0.1571565568447113,,ZTF
59816.17714119982,r,20.11039924621582,0.21079400181770325,,ZTF
59812.23690970009,g,20.704099655151367,0.27829501032829285,,ZTF
59812.1978356,r,19.993999481201172,0.18498200178146362,,ZTF
59809.17775460007,r,19.939300537109375,0.20712800323963165,,ZTF
59807.16974540008,r,20.00349998474121,0.1967719942331314,,ZTF
59802.22145830002,r,19.724700927734375,0.2438800036907196,,ZTF
59799.21832180023,r,19.949800491333008,0.272350013256073,,ZTF
59797.33866900019,r,19.757400512695312,0.16072000563144684,,ZTF
59794.29922450008,g,20.338899612426758,0.27501600980758667,,ZTF
59794.2334838002,r,19.71820068359375,0.18616899847984314,,ZTF
59789.25033560023,r,19.583099365234375,0.14681600034236908,,ZTF
59789.191064800136,g,20.694799423217773,0.25745099782943726,,ZTF
59787.302233799826,r,19.47260093688965,0.14279000461101532,,ZTF
59785.23239579983,g,20.757600784301758,0.22543899714946747,,ZTF
59783.29097220022,g,20.71150016784668,0.28914201259613037,,ZTF
59783.25473379996,r,19.26689910888672,0.09280800074338913,,ZTF
59781.33738429984,g,20.188800811767578,0.28197601437568665,,ZTF
59781.255960599985,g,20.31439971923828,0.24843600392341614,,ZTF
59779.29858799977,r,19.23539924621582,0.13659100234508514,,ZTF
59779.25583329983,r,19.156600952148438,0.0909620001912117,,ZTF
59776.330590299796,r,19.01919937133789,0.10732000321149826,,ZTF
59776.212164400145,r,19.042699813842773,0.09010100364685059,,ZTF
59774.2697222,r,18.943199157714844,0.12099800258874893,,ZTF
59774.22798610013,r,18.912599563598633,0.12133800238370895,,ZTF
59772.29925929988,r,18.69499969482422,0.09376399964094162,,ZTF
59772.248622700106,r,18.717100143432617,0.10593900084495544,,ZTF
59770.2978356001,g,19.787500381469727,0.20335400104522705,,ZTF
59770.21119209984,g,19.486000061035156,0.13315199315547943,,ZTF
59768.33332179999,g,19.50480079650879,0.11567900329828262,,ZTF
59768.29680560017,g,19.392099380493164,0.11614499986171722,,ZTF
59765.320486099925,r,18.347000122070312,0.07097399979829788,,ZTF
59765.291203700006,g,19.190900802612305,0.09289199858903885,,ZTF
59763.35934029985,g,18.906999588012695,0.07991600036621094,,ZTF
59763.297557900194,r,18.275100708007812,0.06579499691724777,,ZTF
59761.34074069979,r,18.186899185180664,0.07579699903726578,,ZTF
59761.29532410018,g,18.71179962158203,0.07889600098133087,,ZTF
59759.297280100174,r,18.170000076293945,0.07143499702215195,,ZTF
59759.275034700055,g,18.593799591064453,0.09199299663305283,,ZTF
59757.29525459977,g,18.49340057373047,0.07677599787712097,,ZTF
59757.2552894,g,18.493000030517578,0.08901499956846237,,ZTF
59755.29575229995,r,18.258699417114258,0.06851200014352798,,ZTF
59752.29526619986,g,18.604700088500977,0.08017899841070175,,ZTF
59750.2747105998,g,18.88800048828125,0.07856900244951248,,ZTF
59748.31486110017,r,18.867399215698242,0.0894870012998581,,ZTF
59753.436457,c,18.342961,0.068818,,ATLAS
59754.432304,c,18.509773,0.065901,,ATLAS
59756.427545,c,18.290543,0.056237,,ATLAS
59757.424833,c,18.403357,0.16521,,ATLAS
59758.423647,c,18.357608,0.065956,,ATLAS
59762.399597,c,18.397364,0.126198,,ATLAS
59786.354603,c,19.771264,0.179646,,ATLAS
59790.337347,c,19.867413,0.217032,,ATLAS
59792.337073,c,19.504018,0.201782,,ATLAS
59747.343242,o,19.281125,0.189859,,ATLAS
59748.400744,o,18.971041,0.18455,,ATLAS
59749.44671,o,18.689762,0.124211,,ATLAS
59750.453914,o,18.580517,0.110216,,ATLAS
59751.378156,o,18.523728,0.1046,,ATLAS
59752.439074,o,18.452808,0.10283,,ATLAS
59754.419898,o,18.370533,0.094897,,ATLAS
59755.485361,o,18.292431,0.083745,,ATLAS
59756.469137,o,18.212476,0.078162,,ATLAS
59758.387354,o,18.201785,0.112085,,ATLAS
59759.416571,o,18.203834,0.089958,,ATLAS
59760.419401,o,18.274862,0.083968,,ATLAS
59763.473822,o,18.290299,0.121606,,ATLAS
59764.432237,o,18.26431,0.083149,,ATLAS
59766.397618,o,18.335974,0.084865,,ATLAS
59767.234535,o,18.477991,0.080126,,ATLAS
59768.621543,o,18.484716,0.080124,,ATLAS
59769.397589,o,18.487881,0.126649,,ATLAS
59770.395169,o,18.448256,0.080261,,ATLAS
59771.460001,o,18.638059,0.191182,,ATLAS
59772.458331,o,18.595876,0.097493,,ATLAS
59775.368601,o,18.89738,0.171044,,ATLAS
59776.543535,o,18.995396,0.101121,,ATLAS
59778.384642,o,19.041872,0.173454,,ATLAS
59779.448631,o,19.202104,0.207111,,ATLAS
59780.382856,o,19.095844,0.171627,,ATLAS
59783.245304,o,19.320446,0.148597,,ATLAS
59787.218086,o,19.647129,0.197614,,ATLAS
