time,band,magnitude,e_magnitude,diffmaglim,telescope
59612.50081,G,16.87,0.1,,Gaia
59612.57481,G,16.87,0.1,,Gaia
59634.25623,G,16.12,0.1,,Gaia
59634.33023,G,16.11,0.1,,Gaia
59634.5064,G,16.11,0.1,,Gaia
59692.32324,G,18.16,0.1,,Gaia
59711.57963,G,18.48,0.1,,Gaia
59711.75578,G,18.49,0.1,,Gaia
59711.82978,G,18.49,0.1,,Gaia
59750.73648,G,19.32,0.1,,Gaia
59750.81049,G,19.29,0.1,,Gaia
59787.03157,G,19.36,0.1,,Gaia
59806.03188,G,20.21,0.1,,Gaia
59608.021743,c,17.222172,0.024948,,ATLAS
59614.077082,c,16.88189,0.018508,,ATLAS
59616.098026,c,16.81236,0.024011,,ATLAS
59618.960979,c,16.717903,0.016147,,ATLAS
59620.058047,c,16.684314,0.02134,,ATLAS
59622.052254,c,16.666361,0.015176,,ATLAS
59639.268004,c,16.058822,0.009634,,ATLAS
59640.268827,c,16.04537,0.009373,,ATLAS
59644.14229,c,16.061373,0.019461,,ATLAS
59645.174535,c,16.057113,0.009333,,ATLAS
59756.776578,c,19.695568,0.153223,,ATLAS
59758.541672,c,19.686033,0.123638,,ATLAS
59760.033434,c,19.588797,0.198386,,ATLAS
59591.51557,o,18.862296,0.198661,,ATLAS
59593.075531,o,18.54505,0.144421,,ATLAS
59595.540052,o,18.0758,0.122441,,ATLAS
59597.055942,o,17.854461,0.080795,,ATLAS
59599.485297,o,17.593234,0.08617,,ATLAS
59601.043054,o,17.467362,0.0522,,ATLAS
59603.59434,o,17.35144,0.062534,,ATLAS
59604.999528,o,17.183409,0.078842,,ATLAS
59605.008585,o,17.2151,0.045938,,ATLAS
59617.884217,o,16.562849,0.032723,,ATLAS
59623.952931,o,16.436107,0.022341,,ATLAS
59626.552255,o,16.334169,0.015807,,ATLAS
59627.99189,o,16.302115,0.026292,,ATLAS
59628.145114,o,16.269431,0.018292,,ATLAS
59629.318465,o,16.145632,0.019268,,ATLAS
59630.266212,o,16.09506,0.016259,,ATLAS
59632.260488,o,16.023803,0.020919,,ATLAS
59633.258736,o,16.08386,0.021226,,ATLAS
59636.283532,o,15.858101,0.011542,,ATLAS
59637.185788,o,15.970684,0.028406,,ATLAS
59638.271887,o,15.957743,0.012604,,ATLAS
59641.257005,o,15.845582,0.011954,,ATLAS
59642.884561,o,15.934043,0.017248,,ATLAS
59643.969226,o,15.911409,0.011901,,ATLAS
59645.992342,o,15.932549,0.01817,,ATLAS
59646.953403,o,15.932139,0.014162,,ATLAS
59647.975448,o,15.951173,0.017522,,ATLAS
59648.048631,o,15.937562,0.025027,,ATLAS
59652.151344,o,16.023543,0.016388,,ATLAS
59653.400398,o,16.028356,0.014607,,ATLAS
59654.729372,o,16.047256,0.012195,,ATLAS
59655.95398,o,16.062256,0.018317,,ATLAS
59656.172275,o,16.094507,0.01557,,ATLAS
59657.262102,o,16.172539,0.029226,,ATLAS
59658.225985,o,16.131243,0.017664,,ATLAS
59660.134969,o,16.172129,0.015992,,ATLAS
59661.208509,o,16.24424,0.020302,,ATLAS
59664.201278,o,16.478793,0.028279,,ATLAS
59665.160777,o,16.558328,0.029999,,ATLAS
59666.225901,o,16.692906,0.034197,,ATLAS
59668.105618,o,16.863281,0.028091,,ATLAS
59669.211099,o,16.997942,0.043494,,ATLAS
59670.223176,o,17.083081,0.033701,,ATLAS
59672.188829,o,17.26062,0.056121,,ATLAS
59673.193995,o,17.325637,0.041861,,ATLAS
59674.147105,o,17.40319,0.045404,,ATLAS
59676.182349,o,17.526735,0.04944,,ATLAS
59677.152732,o,17.57147,0.05267,,ATLAS
59680.164479,o,17.662941,0.057877,,ATLAS
59681.175584,o,17.696623,0.048448,,ATLAS
59682.123967,o,17.786142,0.055865,,ATLAS
59684.129926,o,17.813873,0.065631,,ATLAS
59685.314676,o,17.80576,0.054929,,ATLAS
59686.554403,o,17.812105,0.055843,,ATLAS
59688.173628,o,17.55543,0.119445,,ATLAS
59689.574645,o,17.932499,0.05941,,ATLAS
59692.098331,o,17.864685,0.068771,,ATLAS
59697.896021,o,18.261448,0.097582,,ATLAS
59700.066828,o,18.261553,0.098172,,ATLAS
59701.887929,o,18.267627,0.096428,,ATLAS
59704.153635,o,18.271406,0.099414,,ATLAS
59708.072335,o,18.267686,0.097534,,ATLAS
59714.060294,o,18.302443,0.092648,,ATLAS
59716.062332,o,18.405111,0.096313,,ATLAS
59717.100718,o,18.271452,0.078779,,ATLAS
59725.847412,o,18.32721,0.103042,,ATLAS
59729.761312,o,18.429038,0.11641,,ATLAS
59733.831348,o,18.647592,0.140978,,ATLAS
59737.756509,o,18.798789,0.164743,,ATLAS
59742.074261,o,18.927035,0.213998,,ATLAS
59747.981784,o,19.085914,0.214641,,ATLAS
59749.812995,o,19.325908,0.190922,,ATLAS
