time,band,magnitude,e_magnitude,diffmaglim,telescope
59838.48549,G,18.33,0.1,,Gaia
59838.55948,G,18.31,0.1,,Gaia
59855.81084,G,19.06,0.1,,Gaia
59855.98698,G,19.04,0.1,,Gaia
59889.21117,G,19.65,0.1,,Gaia
59889.28517,G,19.68,0.1,,Gaia
59811.15741,c,19.815457,0.206702,,ATLAS
59812.371154,c,19.559217,0.19069,,ATLAS
59815.129671,c,18.79204,0.08583,,ATLAS
59819.121431,c,18.24239,0.051271,,ATLAS
59820.355612,c,18.162374,0.049393,,ATLAS
59823.170191,c,18.043943,0.072744,,ATLAS
59824.360646,c,17.922303,0.038505,,ATLAS
59842.308732,c,18.752986,0.085148,,ATLAS
59844.778675,c,19.128787,0.164038,,ATLAS
59846.303138,c,19.178372,0.201226,,ATLAS
59848.796974,c,19.171566,0.118395,,ATLAS
59850.304603,c,19.445612,0.155296,,ATLAS
59867.035918,c,19.67451,0.198968,,ATLAS
59868.268886,c,19.483937,0.168248,,ATLAS
59812.614648,o,19.419854,0.124828,,ATLAS
59814.394338,o,18.804597,0.096241,,ATLAS
59818.384059,o,18.297692,0.07948,,ATLAS
59822.347346,o,17.949472,0.057053,,ATLAS
59826.357519,o,17.74239,0.042827,,ATLAS
59827.105182,o,17.637113,0.047453,,ATLAS
59830.333753,o,17.797727,0.160527,,ATLAS
59831.14846,o,17.746763,0.097424,,ATLAS
59832.468685,o,17.856169,0.068987,,ATLAS
59835.11308,o,17.859855,0.046905,,ATLAS
59836.699001,o,17.960871,0.044879,,ATLAS
59838.320971,o,18.021666,0.061311,,ATLAS
59840.335319,o,18.065291,0.063118,,ATLAS
59843.062518,o,18.23822,0.074019,,ATLAS
59844.317087,o,18.394986,0.08506,,ATLAS
59847.06264,o,18.342686,0.085685,,ATLAS
59848.297033,o,18.41307,0.086474,,ATLAS
59851.053721,o,18.596511,0.101316,,ATLAS
59852.79408,o,18.823409,0.131209,,ATLAS
59854.286216,o,18.964166,0.147679,,ATLAS
59855.044214,o,18.696561,0.129515,,ATLAS
59856.79333,o,18.870537,0.151918,,ATLAS
59858.355665,o,18.882078,0.168884,,ATLAS
59859.065637,o,18.950029,0.190048,,ATLAS
59860.669832,o,18.819015,0.124142,,ATLAS
59864.305903,o,18.978745,0.135754,,ATLAS
59870.358605,o,19.055293,0.163349,,ATLAS
59872.756344,o,18.879742,0.19452,,ATLAS
59874.333224,o,19.126292,0.191923,,ATLAS
59876.754694,o,18.941448,0.170972,,ATLAS
59878.241488,o,19.327935,0.211148,,ATLAS
59890.263587,o,19.351458,0.199418,,ATLAS
59894.205362,o,19.493327,0.178771,,ATLAS
