time,band,magnitude,e_magnitude,diffmaglim,telescope
59913.15326389996,r,19.82936668395996,0.1523081660270691,,ZTF
59906.13050930016,r,20.029499053955078,0.14203999936580658,,ZTF
59904.13017359981,g,20.3971004486084,0.282723993062973,,ZTF
59904.12077549985,r,19.96139907836914,0.18809199333190918,,ZTF
59902.13136570016,r,19.872400283813477,0.20804999768733978,,ZTF
59900.12462959997,r,19.884300231933594,0.19298699498176575,,ZTF
59898.242361099925,r,19.75469970703125,0.16456399857997894,,ZTF
59898.15192130022,g,20.37649917602539,0.2032890021800995,,ZTF
59896.1640625,g,20.717100143432617,0.28141099214553833,,ZTF
59896.128969899844,r,19.730199813842773,0.14404800534248352,,ZTF
59894.10936339991,r,19.587099075317383,0.126568004488945,,ZTF
59883.17190970015,g,20.215099334716797,0.19418999552726746,,ZTF
59883.1431481,r,19.494699478149414,0.14768700301647186,,ZTF
59881.32165510021,g,20.03969955444336,0.21272000670433044,,ZTF
59879.282326399814,r,19.230600357055664,0.15082800388336182,,ZTF
59879.23900459986,g,20.12220001220703,0.18711599707603455,,ZTF
59877.21369209979,g,20.215299606323242,0.20774100720882416,,ZTF
59877.171481499914,r,19.176300048828125,0.1040090024471283,,ZTF
59874.19385420019,g,20.031400680541992,0.14983999729156494,,ZTF
59874.15046299994,r,19.04210090637207,0.07825899869203568,,ZTF
59872.195416700095,r,18.928600311279297,0.09266900271177292,,ZTF
59872.18771990016,g,19.9955997467041,0.20921500027179718,,ZTF
59870.32302080002,g,19.950700759887695,0.21369999647140503,,ZTF
59870.212754600216,r,18.889299392700195,0.08950500190258026,,ZTF
59867.215462999884,g,19.720600128173828,0.1748269945383072,,ZTF
59865.21403940022,g,19.466400146484375,0.12893900275230408,,ZTF
59865.1420948999,r,18.5531005859375,0.06442800164222717,,ZTF
59863.312384299934,g,19.4158992767334,0.2133989930152893,,ZTF
59863.24358800007,r,18.415000915527344,0.0782729983329773,,ZTF
59861.19238429982,g,19.271900177001953,0.18534499406814575,,ZTF
59859.2354282001,r,18.189800262451172,0.07469899952411652,,ZTF
59859.194560199976,g,19.247499465942383,0.13088800013065338,,ZTF
59857.275509300176,g,18.987199783325195,0.10654100030660629,,ZTF
59857.22592590004,r,18.187299728393555,0.06009199842810631,,ZTF
59855.27497689985,r,18.11199951171875,0.04858899861574173,,ZTF
59855.257962999865,g,18.79490089416504,0.07603099942207336,,ZTF
59853.28969909996,g,18.591699600219727,0.06819599866867065,,ZTF
59853.24019679986,r,18.066999435424805,0.04463300108909607,,ZTF
59851.222372699995,g,18.450300216674805,0.05249299854040146,,ZTF
59851.1858680998,r,18.06879997253418,0.06346400082111359,,ZTF
59849.228634300176,g,18.354799270629883,0.055821001529693604,,ZTF
59849.17505790014,r,18.02899932861328,0.05306499823927879,,ZTF
59847.306053199805,g,18.242700576782227,0.06467799842357635,,ZTF
59847.23406249983,r,18.08769989013672,0.055619001388549805,,ZTF
59845.255601900164,r,18.14459991455078,0.06070299819111824,,ZTF
59845.23407409992,g,18.23870086669922,0.07255399972200394,,ZTF
59843.26194440015,r,18.299999237060547,0.05522000044584274,,ZTF
59843.250150499865,g,18.34160041809082,0.05011200159788132,,ZTF
59841.28907410009,g,18.520299911499023,0.060006000101566315,,ZTF
59841.20855320012,g,18.576900482177734,0.06349600106477737,,ZTF
59839.277627300005,g,18.762100219726562,0.07806400209665298,,ZTF
59839.21357640019,g,18.72760009765625,0.06863900274038315,,ZTF
59842.383452,c,18.370618,0.054921,,ATLAS
59843.401766,c,18.328216,0.051326,,ATLAS
59844.429749,c,18.257184,0.04716,,ATLAS
59846.365313,c,18.191949,0.052184,,ATLAS
59847.349457,c,18.125248,0.040638,,ATLAS
59848.648935,c,18.170249,0.031966,,ATLAS
59850.372959,c,18.262053,0.046504,,ATLAS
59851.413917,c,18.236154,0.046272,,ATLAS
59852.355973,c,18.359631,0.051312,,ATLAS
59867.089733,c,19.112806,0.113112,,ATLAS
59869.31929,c,19.246108,0.115148,,ATLAS
59870.224384,c,19.349348,0.143073,,ATLAS
59871.071474,c,19.222828,0.135407,,ATLAS
59875.058132,c,19.430544,0.145784,,ATLAS
59876.301527,c,19.541003,0.162978,,ATLAS
59879.041819,c,19.75933,0.210706,,ATLAS
59880.314833,c,19.836116,0.215749,,ATLAS
59881.289361,c,19.626379,0.1746,,ATLAS
59882.355852,c,19.709045,0.182934,,ATLAS
57360.187842,o,16.793692,0.11626,,ATLAS
59834.478793,o,19.493586,0.2028,,ATLAS
59835.443185,o,19.046495,0.154171,,ATLAS
59836.578679,o,19.11477,0.093646,,ATLAS
59837.415068,o,19.001005,0.111153,,ATLAS
59838.421003,o,18.737662,0.081771,,ATLAS
59839.40005,o,18.701854,0.097544,,ATLAS
59840.431736,o,18.504422,0.06801,,ATLAS
59841.387253,o,18.465323,0.064095,,ATLAS
59842.389639,o,18.346808,0.075289,,ATLAS
59844.387155,o,18.150284,0.063222,,ATLAS
59845.382737,o,18.141543,0.06563,,ATLAS
59846.37926,o,18.056635,0.057622,,ATLAS
59848.367348,o,18.04889,0.057609,,ATLAS
59849.38424,o,18.01319,0.053643,,ATLAS
59850.374653,o,17.945117,0.049757,,ATLAS
59851.112875,o,17.984906,0.052272,,ATLAS
59852.84655,o,18.013692,0.058342,,ATLAS
59853.369286,o,17.971357,0.052259,,ATLAS
59854.351752,o,18.03872,0.036261,,ATLAS
59855.234469,o,18.087978,0.043358,,ATLAS
59856.376155,o,18.052066,0.051924,,ATLAS
59858.3382,o,18.021571,0.082893,,ATLAS
59859.371914,o,18.286819,0.095416,,ATLAS
59860.45307,o,18.36185,0.08906,,ATLAS
59863.357158,o,18.28098,0.072241,,ATLAS
59864.384469,o,18.343565,0.060867,,ATLAS
59865.37683,o,18.432348,0.125633,,ATLAS
59866.358607,o,18.513341,0.078172,,ATLAS
59867.427147,o,18.691887,0.111931,,ATLAS
59868.326564,o,18.692039,0.097828,,ATLAS
59870.225735,o,18.712288,0.099061,,ATLAS
59871.221501,o,18.747496,0.106135,,ATLAS
59872.351624,o,18.924588,0.116381,,ATLAS
59875.332427,o,18.910796,0.116208,,ATLAS
59876.301773,o,18.932452,0.117221,,ATLAS
59879.28148,o,19.230734,0.161594,,ATLAS
59880.861609,o,19.02518,0.145295,,ATLAS
59882.285668,o,19.017277,0.159394,,ATLAS
59883.341968,o,19.137983,0.121836,,ATLAS
59884.296772,o,19.006106,0.163382,,ATLAS
59885.315664,o,19.295729,0.200162,,ATLAS
59886.290772,o,19.404476,0.185465,,ATLAS
59895.274792,o,19.49614,0.210211,,ATLAS
59896.346543,o,19.347251,0.190363,,ATLAS
59902.27313,o,19.448574,0.197566,,ATLAS
59906.2732,o,19.545659,0.192899,,ATLAS
59807.55812534137,i,23.294175000000003,0.7071037471026907,,Pan-STARRS
59833.45277257893,i,21.035966666666667,1.3904107930152627,,Pan-STARRS
