time,band,magnitude,e_magnitude,diffmaglim,telescope
59865.14398150006,r,19.682598114013672,0.16651737689971924,,ZTF
59859.23636570014,r,19.376800537109375,0.1733970046043396,,ZTF
59859.19644680014,g,19.832799911499023,0.2458299994468689,,ZTF
59857.223564799875,r,19.168800354003906,0.13353300094604492,,ZTF
59855.30151619995,r,19.158300399780273,0.10444699972867966,,ZTF
59855.259884300176,g,19.60099983215332,0.12226100265979767,,ZTF
59853.275879600085,g,19.57659912109375,0.09934300184249878,,ZTF
59853.24114579987,r,19.185400009155273,0.09254299849271774,,ZTF
59851.21140050003,g,19.44860076904297,0.11936300247907639,,ZTF
59851.172326399945,r,19.122699737548828,0.09242700040340424,,ZTF
59849.21355320001,g,19.41469955444336,0.09342899918556213,,ZTF
59849.17410880001,r,19.149599075317383,0.07436999678611755,,ZTF
59847.27894680016,g,19.498600006103516,0.1139649972319603,,ZTF
59844.290636599995,r,19.5802001953125,0.12129800021648407,,ZTF
59844.25570600014,g,19.72800064086914,0.13436999917030334,,ZTF
59842.31104170019,g,20.19879913330078,0.14942200481891632,,ZTF
59840.312951399945,g,20.584299087524414,0.28313499689102173,,ZTF
59843.388291,c,20.001866,0.213428,,ATLAS
59844.380637,c,19.657977,0.148568,,ATLAS
59847.336035,c,19.239683,0.104449,,ATLAS
59848.379099,c,19.261915,0.104285,,ATLAS
59851.367971,c,19.322248,0.106745,,ATLAS
59852.33745,c,19.356326,0.124919,,ATLAS
59845.362643,o,19.552809,0.211422,,ATLAS
59849.342943,o,19.293894,0.16762,,ATLAS
59850.345904,o,19.120682,0.141113,,ATLAS
59853.345709,o,19.223741,0.15927,,ATLAS
59854.311992,o,19.158534,0.149937,,ATLAS
59855.316186,o,19.246008,0.157378,,ATLAS
59856.351442,o,19.314687,0.162042,,ATLAS
59858.324004,o,19.205062,0.197484,,ATLAS
59860.459754,o,19.254783,0.200819,,ATLAS
59807.54649157078,i,23.168850000000003,1.4988949629643835,,Pan-STARRS
59832.4474222171,i,22.9432,6.83977,,Pan-STARRS
59860.37711609498,i,19.348725,0.05202556377122931,,Pan-STARRS
59812.3475954271,w,23.714550000000003,0.7032176938900205,,Pan-STARRS
59836.2875134,w,23.3978,0.421511,,Pan-STARRS
59840.265318018624,w,20.4873,0.012647529403010343,,Pan-STARRS
59850.25367393022,w,19.212225,0.011314113604992357,,Pan-STARRS
59882.27839626638,w,20.99695,0.15884404301074678,,Pan-STARRS
60081.598264920496,w,22.4409,0.8485281374238565,,Pan-STARRS
60121.48515257643,w,24.2968,0.6854924580183209,,Pan-STARRS
60137.4374264254,w,23.33543333333333,0.4242462296041457,,Pan-STARRS
60140.4554274416,w,23.5146,2.87942,,Pan-STARRS
60149.3858704721,w,24.1243,5.60449,,Pan-STARRS
60152.4072204143,w,24.2701,2.68518,,Pan-STARRS
60175.3014325793,w,24.543599999999998,0.16928136341605937,,Pan-STARRS
60179.3312374782,w,23.72866666666667,0.6052776663097135,,Pan-STARRS
