time,band,magnitude,e_magnitude,diffmaglim,telescope
59882.38887730008,g,19.912729263305664,0.21598419547080994,,ZTF
59882.35594910011,r,19.098499298095703,0.13214600086212158,,ZTF
59880.36811339995,g,19.8799991607666,0.2119549959897995,,ZTF
59880.33971060021,r,18.967300415039062,0.12078899890184402,,ZTF
59878.32768520014,r,18.907699584960938,0.08452600240707397,,ZTF
59876.42665510019,g,19.971799850463867,0.23436899483203888,,ZTF
59876.381585599855,r,18.927000045776367,0.11837799847126007,,ZTF
59873.332071799785,r,18.843299865722656,0.11428400129079819,,ZTF
59871.399513899814,r,18.728200912475586,0.12662899494171143,,ZTF
59866.44192129979,g,18.53179931640625,0.0987740010023117,,ZTF
59866.37709489977,r,18.395200729370117,0.08016599714756012,,ZTF
59864.40921299998,g,18.34469985961914,0.11526499688625336,,ZTF
59864.37380790012,r,18.400299072265625,0.0991630032658577,,ZTF
59862.441666699946,r,18.486099243164062,0.11078999936580658,,ZTF
59862.39732640004,g,18.521799087524414,0.14780199527740479,,ZTF
59860.478090300225,g,19.01449966430664,0.12113399803638458,,ZTF
59858.44013890019,g,19.577600479125977,0.1184300035238266,,ZTF
59858.36217590002,r,19.34269905090332,0.1295129954814911,,ZTF
59856.423182900064,g,20.299100875854492,0.23372800648212433,,ZTF
59871.256094,c,19.057641,0.108565,,ATLAS
59872.482534,c,19.311118,0.153098,,ATLAS
59875.157036,c,19.353882,0.161502,,ATLAS
59876.52708,c,19.385741,0.169991,,ATLAS
59879.207854,c,19.28333,0.147115,,ATLAS
59880.566943,c,19.625146,0.21046,,ATLAS
58552.253278,o,13.985966,0.112629,,ATLAS
59858.347478,o,19.213484,0.17649,,ATLAS
59860.705932,o,18.650985,0.117625,,ATLAS
59866.551244,o,18.578863,0.138025,,ATLAS
59867.331083,o,18.391937,0.111627,,ATLAS
59868.502365,o,18.460469,0.109064,,ATLAS
59870.482083,o,18.583232,0.115342,,ATLAS
59872.942979,o,18.643339,0.165438,,ATLAS
59874.532995,o,18.919628,0.151388,,ATLAS
59877.014994,o,19.009243,0.187119,,ATLAS
59878.432258,o,19.07486,0.188031,,ATLAS
59880.92734,o,18.395101,0.210206,,ATLAS
59883.191612,o,19.074224,0.168908,,ATLAS
59897.452140371424,i,20.1903,0.09198376668376528,,Pan-STARRS
59830.616984095905,w,23.346899999999998,0.1575433908483649,,Pan-STARRS
59845.582189279,w,24.4342,6.28891,,Pan-STARRS
59873.53122639008,w,18.997275,0.014474431479911695,,Pan-STARRS
59883.495841565724,w,19.200175,0.030320331462568254,,Pan-STARRS
59907.4381977255,w,20.755125000000003,0.04194952323924489,,Pan-STARRS
59958.258223375466,w,21.879875,0.22951479799786245,,Pan-STARRS
