time,band,magnitude,e_magnitude,diffmaglim,telescope
59897.770794,c,17.573058,0.031388,,ATLAS
59901.776077,c,17.813578,0.132589,,ATLAS
59884.034894,o,19.017869,0.197545,,ATLAS
59886.109112,o,18.329354,0.113292,,ATLAS
59887.786307,o,18.205856,0.139391,,ATLAS
59888.092387,o,18.120248,0.111365,,ATLAS
59889.156917,o,17.837305,0.091951,,ATLAS
59892.021485,o,17.675072,0.069968,,ATLAS
59893.78692,o,17.515197,0.043096,,ATLAS
59894.137048,o,17.442297,0.051492,,ATLAS
59900.027617,o,17.277149,0.045092,,ATLAS
59904.089138,o,17.270447,0.037626,,ATLAS
59920.120045,o,18.212691,0.164629,,ATLAS
