time,band,magnitude,e_magnitude,diffmaglim,telescope
59995.331568,c,17.37799,0.028143,,ATLAS
59999.304156,c,17.253625,0.025468,,ATLAS
60003.330373,c,17.182722,0.027089,,ATLAS
60022.060655,c,18.250537,0.084085,,ATLAS
60033.999126,c,18.8785,0.213506,,ATLAS
60034.013452,c,18.959603,0.141292,,ATLAS
60052.226453,c,19.001242,0.119515,,ATLAS
60058.204518,c,19.144124,0.134503,,ATLAS
60083.95828,c,19.386638,0.161781,,ATLAS
59991.380681,o,17.609641,0.036239,,ATLAS
59998.10893,o,17.016133,0.030048,,ATLAS
60002.057892,o,16.889374,0.026953,,ATLAS
60006.092624,o,16.854561,0.026425,,ATLAS
60007.354171,o,16.886248,0.037854,,ATLAS
60011.281667,o,16.966779,0.038918,,ATLAS
60014.056574,o,17.244945,0.043767,,ATLAS
60018.012096,o,17.315906,0.031202,,ATLAS
60019.299129,o,17.459406,0.043991,,ATLAS
60023.331822,o,17.691941,0.04861,,ATLAS
60027.254089,o,17.747332,0.05916,,ATLAS
60031.289446,o,18.014136,0.08509,,ATLAS
60036.028812,o,18.181553,0.08621,,ATLAS
60037.253827,o,18.056014,0.086589,,ATLAS
60038.991331,o,18.165673,0.107461,,ATLAS
60039.001142,o,18.152867,0.177691,,ATLAS
60040.23092,o,18.340408,0.161989,,ATLAS
60046.308144,o,18.38366,0.111217,,ATLAS
60049.323508,o,18.295443,0.079807,,ATLAS
60050.974888,o,18.48033,0.109466,,ATLAS
60054.046682,o,18.664141,0.134956,,ATLAS
60059.974056,o,18.742057,0.138841,,ATLAS
60060.023604,o,18.596864,0.126315,,ATLAS
60063.056688,o,18.70263,0.135747,,ATLAS
60067.1811,o,18.5958,0.145902,,ATLAS
60073.265817,o,18.902781,0.185028,,ATLAS
60075.011334,o,18.869978,0.169075,,ATLAS
60079.230188,o,19.210811,0.182561,,ATLAS
60082.205413,o,19.179373,0.215255,,ATLAS
60085.225858,o,19.092516,0.203413,,ATLAS
60092.917983,o,19.017831,0.186206,,ATLAS
