time,band,magnitude,e_magnitude,diffmaglim,telescope
60171.21615740005,r,20.117734909057617,0.20722441375255585,,ZTF
60169.29006939987,r,20.038799285888672,0.24802100658416748,,ZTF
60163.288321800064,r,19.940799713134766,0.18262499570846558,,ZTF
60155.2901504999,r,19.74340057373047,0.23816600441932678,,ZTF
60153.240891200025,r,19.825000762939453,0.1867610067129135,,ZTF
60151.32619210007,g,20.46739959716797,0.2780750095844269,,ZTF
60149.2565394002,r,19.671100616455078,0.15021300315856934,,ZTF
60147.26789350016,r,19.686100006103516,0.12836399674415588,,ZTF
60145.29137729993,r,19.722900390625,0.1775680035352707,,ZTF
60143.34006940015,r,19.534000396728516,0.12250299751758575,,ZTF
60143.27543980023,g,20.832000732421875,0.3702020049095154,,ZTF
60141.31098379986,g,20.72249984741211,0.31730300188064575,,ZTF
60141.25746530015,r,19.484500885009766,0.17408500611782074,,ZTF
60139.291504600085,r,19.471200942993164,0.12101099640130997,,ZTF
60139.233009300195,g,20.316200256347656,0.2327599972486496,,ZTF
60137.28813660005,g,20.4552001953125,0.2311529964208603,,ZTF
60135.30953700002,r,19.23780059814453,0.11241599917411804,,ZTF
60135.256018499844,g,20.343799591064453,0.25286900997161865,,ZTF
60132.20708330022,r,19.072799682617188,0.1178480014204979,,ZTF
60127.27498839982,r,18.72209930419922,0.12636800110340118,,ZTF
60127.20460649999,g,19.383499145507812,0.2101690024137497,,ZTF
60125.35216439981,g,19.38920021057129,0.16130100190639496,,ZTF
60125.2901157001,r,18.660400390625,0.08635000139474869,,ZTF
60123.2532060002,g,19.15410041809082,0.14283999800682068,,ZTF
60121.38513890002,g,19.12660026550293,0.11658500134944916,,ZTF
60121.2749073999,r,18.559099197387695,0.0952330008149147,,ZTF
60119.32224539993,r,18.564199447631836,0.07546199858188629,,ZTF
60117.340104199946,r,18.47319984436035,0.0643479973077774,,ZTF
60117.3186458,g,18.700300216674805,0.09660200029611588,,ZTF
60115.326597199775,r,18.45870018005371,0.07826700061559677,,ZTF
60112.36174769979,g,18.54450035095215,0.09191499650478363,,ZTF
60112.29915509978,r,18.619300842285156,0.06979700177907944,,ZTF
60110.31755790021,r,18.648300170898438,0.08850499987602234,,ZTF
60103.312048600055,r,19.4153995513916,0.12428800016641617,,ZTF
60105.440551,c,19.050578,0.103657,,ATLAS
60107.46188,c,18.995518,0.094357,,ATLAS
60109.459681,c,18.786768,0.170605,,ATLAS
60110.225897,c,18.541845,0.070705,,ATLAS
60111.47578,c,18.844641,0.089588,,ATLAS
60113.424248,c,18.531967,0.060179,,ATLAS
60115.405231,c,18.627183,0.0623,,ATLAS
60117.479206,c,18.524563,0.060525,,ATLAS
60147.340078,c,19.919482,0.209362,,ATLAS
60123.406658,o,18.70516,0.102642,,ATLAS
60125.40401,o,18.768474,0.117032,,ATLAS
60129.403502,o,19.186377,0.197562,,ATLAS
60131.397933,o,18.868716,0.122451,,ATLAS
60133.402123,o,19.239772,0.169027,,ATLAS
60140.125086,o,19.596192,0.189229,,ATLAS
60112.5218813383,w,18.49545,0.014900223711967545,,Pan-STARRS
60116.3692674077,w,18.542740000000002,0.044351527594887225,,Pan-STARRS
60137.307182342876,w,19.411450000000002,0.04348704788018345,,Pan-STARRS
