time,band,magnitude,e_magnitude,diffmaglim,telescope
60194.32855319977,r,19.298660278320312,0.09518002718687057,,ZTF
60194.28903939994,g,20.401100158691406,0.15030799806118011,,ZTF
60192.34055559989,g,20.425500869750977,0.24292300641536713,,ZTF
60187.39851849992,r,19.303600311279297,0.20451800525188446,,ZTF
60185.472939800005,g,20.48699951171875,0.3199320137500763,,ZTF
60185.33976850007,r,19.090599060058594,0.10775599628686905,,ZTF
60183.3900462999,r,19.199899673461914,0.07368099689483643,,ZTF
60181.449432900175,r,19.149700164794922,0.11947499960660934,,ZTF
60181.362094900105,g,20.59079933166504,0.2287999987602234,,ZTF
60179.36716439994,r,19.14940071105957,0.07760900259017944,,ZTF
60179.337511599995,g,20.28809928894043,0.17508000135421753,,ZTF
60173.3900462999,g,20.222200393676758,0.17060700058937073,,ZTF
60173.325949099846,r,18.987499237060547,0.07609400153160095,,ZTF
60170.42743059993,r,18.943899154663086,0.082737997174263,,ZTF
60170.36048609996,g,20.244600296020508,0.14657600224018097,,ZTF
60168.38490739977,g,20.186599731445312,0.17404599487781525,,ZTF
60168.34716439992,r,18.96339988708496,0.07074300199747086,,ZTF
60163.44645830011,g,20.110700607299805,0.19679899513721466,,ZTF
60163.40281250002,r,18.81100082397461,0.06445600092411041,,ZTF
60160.426967599895,r,18.73900032043457,0.09801200032234192,,ZTF
60160.38254630007,g,20.065900802612305,0.2735939919948578,,ZTF
60157.468009300064,g,19.742700576782227,0.21258600056171417,,ZTF
60157.428958300035,r,18.592100143432617,0.08762499690055847,,ZTF
60152.45859949989,g,19.763500213623047,0.12799599766731262,,ZTF
60150.43167820014,g,19.681400299072266,0.116287000477314,,ZTF
60150.38545140019,r,18.389799118041992,0.04945399984717369,,ZTF
60148.43427080009,g,19.407800674438477,0.09013199806213379,,ZTF
60148.38754629996,r,18.362699508666992,0.0670349970459938,,ZTF
60146.42819439992,r,18.286300659179688,0.046441998332738876,,ZTF
60146.38795140013,r,18.28260040283203,0.06901700049638748,,ZTF
60144.42535880022,g,19.275699615478516,0.08592300117015839,,ZTF
60144.38273150008,r,18.268600463867188,0.05859300121665001,,ZTF
60142.447233799845,r,18.181699752807617,0.0588110014796257,,ZTF
60139.45487269992,g,18.99489974975586,0.0691400021314621,,ZTF
60139.39467590023,r,18.094999313354492,0.04377400130033493,,ZTF
60137.40415510023,r,18.0447998046875,0.05441199988126755,,ZTF
60137.37317130016,g,18.889299392700195,0.08903899788856506,,ZTF
60135.425821799785,r,18.0216007232666,0.03573700040578842,,ZTF
60135.4111227002,g,18.802799224853516,0.0809599980711937,,ZTF
60133.34774310002,g,18.627700805664062,0.06926699727773666,,ZTF
60125.452372699976,r,17.8799991607666,0.040453001856803894,,ZTF
60125.38284720015,g,18.20669937133789,0.056279998272657394,,ZTF
60123.45592590002,r,17.903200149536133,0.050884999334812164,,ZTF
60123.40425929986,g,18.143600463867188,0.057381000369787216,,ZTF
60121.45516199991,r,17.904699325561523,0.04857800155878067,,ZTF
60121.41340279998,g,18.101699829101562,0.0628189966082573,,ZTF
60119.454421299975,r,17.944000244140625,0.05329500138759613,,ZTF
60119.43405089993,g,18.075700759887695,0.050216998904943466,,ZTF
60116.45468749991,r,18.06439971923828,0.04465699940919876,,ZTF
60116.41329859989,g,18.163400650024414,0.06791099905967712,,ZTF
60113.43034720002,g,18.36199951171875,0.05594800040125847,,ZTF
60110.446898099966,r,18.703500747680664,0.05369200184941292,,ZTF
60110.41256939992,g,18.74250030517578,0.079196996986866,,ZTF
60108.4457291998,r,19.057600021362305,0.07745800167322159,,ZTF
60109.561016,c,18.975419,0.093055,,ATLAS
60110.347433,c,18.646287,0.084128,,ATLAS
60111.559553,c,18.516886,0.063031,,ATLAS
60113.54783,c,18.359101,0.055689,,ATLAS
60115.560472,c,18.24878,0.04717,,ATLAS
60116.38546,c,18.014944,0.072178,,ATLAS
60117.567509,c,18.129343,0.044896,,ATLAS
60123.545298,c,18.004877,0.027462,,ATLAS
60139.519723,c,18.502362,0.063423,,ATLAS
60141.52061,c,18.632153,0.065725,,ATLAS
60145.579176,c,18.733224,0.052004,,ATLAS
60147.50329,c,18.800238,0.081826,,ATLAS
60149.450584,c,18.802855,0.076915,,ATLAS
60151.504962,c,19.107327,0.09947,,ATLAS
60153.504148,c,19.252593,0.096572,,ATLAS
60171.43856,c,19.47751,0.146147,,ATLAS
60173.450565,c,19.641339,0.178547,,ATLAS
60175.518647,c,19.854697,0.194149,,ATLAS
60177.496366,c,19.592395,0.150935,,ATLAS
60179.501355,c,19.564664,0.131632,,ATLAS
60181.478623,c,19.864538,0.197966,,ATLAS
60107.562423,o,19.259719,0.182542,,ATLAS
60125.546321,o,17.872962,0.045364,,ATLAS
60128.349672,o,18.188594,0.135991,,ATLAS
60129.547962,o,17.860864,0.06557,,ATLAS
60131.550479,o,17.901445,0.05421,,ATLAS
60133.533967,o,17.994993,0.093253,,ATLAS
60137.540118,o,17.986781,0.050053,,ATLAS
60140.275136,o,18.030439,0.060297,,ATLAS
60155.479239,o,18.69721,0.109084,,ATLAS
60157.470208,o,18.574673,0.08863,,ATLAS
60159.493676,o,18.800704,0.136645,,ATLAS
60161.465568,o,18.71467,0.115352,,ATLAS
60105.58487837843,w,19.640366666666665,0.01947930525797311,,Pan-STARRS
60121.55613552453,w,17.83615,0.009129256997879288,,Pan-STARRS
60178.35475758805,w,19.191300000000002,0.08978043587924228,,Pan-STARRS
60124.6285609942,y,17.8584,0.103682,,Pan-STARRS
60137.6279202458,y,17.8113,0.0574103,,Pan-STARRS
60139.6315050969,y,17.7865,0.16465,,Pan-STARRS
60191.6470442135,y,18.3998,0.289487,,Pan-STARRS
60192.6485968968,y,18.7866,0.772007,,Pan-STARRS
