time,band,magnitude,e_magnitude,diffmaglim,telescope
60174.82735,G,18.48,0.1,,Gaia
60174.90135,G,18.44,0.1,,Gaia
60193.2837731,r,18.91631317138672,0.1142931655049324,,ZTF
60188.18390050018,g,19.25160026550293,0.23842500150203705,,ZTF
60186.249305599835,r,18.35810089111328,0.06608700007200241,,ZTF
60184.220544000156,g,19.121299743652344,0.1554259955883026,,ZTF
60184.17731480021,r,18.243799209594727,0.06988900154829025,,ZTF
60182.23701390019,g,18.909099578857422,0.12349899858236313,,ZTF
60175.19115740014,g,18.814199447631836,0.10907799750566483,,ZTF
60173.19560190011,g,18.825300216674805,0.07690200209617615,,ZTF
60173.18412039988,r,18.387399673461914,0.058375999331474304,,ZTF
60171.290416699834,g,18.903400421142578,0.1084899976849556,,ZTF
60171.21615740005,r,18.586200714111328,0.07077900320291519,,ZTF
60165.21534720017,r,20.42140007019043,0.2183140069246292,,ZTF
60171.310083,c,18.714647,0.085903,,ATLAS
60173.32359,c,18.715901,0.089999,,ATLAS
60175.316179,c,18.62993,0.073375,,ATLAS
60177.295594,c,18.54551,0.072806,,ATLAS
60168.810605,o,19.025509,0.15971,,ATLAS
60179.290679,o,18.089314,0.04515,,ATLAS
60181.334737,o,18.135206,0.049987,,ATLAS
60182.038167,o,18.071068,0.086108,,ATLAS
60183.320852,o,18.072737,0.072087,,ATLAS
60185.302586,o,18.289817,0.097221,,ATLAS
60187.287598,o,18.37756,0.147252,,ATLAS
